sep=;
Astrée Analysis Report
1. Results
1.1. Control flow
Caller;Callee;Call site;Process
Appl_SccCbk_Get_ISO_DC_EVTargetCurrent;Mfx_MulShRight_s32s32u8_s16;ALL_bc_with_context.c:463241.29-96;Process 42
Appl_SccCbk_Set_DIN_EVSECurrentRegulationTolerance;HLCCcs_ConvPhysImpl___2386;ALL_bc_with_context.c:458593.21-146;Process 42
Appl_SccCbk_Set_DIN_EVSECurrentRegulationTolerance;Mfx_MulDiv_s32s32s32_s16;ALL_bc_with_context.c:458595.33-91;Process 42
Appl_SccCbk_Set_DIN_EVSEMaximumCurrentLimit;HLCCcs_ConvPhysImpl___2386;ALL_bc_with_context.c:458609.21-132;Process 42
Appl_SccCbk_Set_DIN_EVSEMaximumCurrentLimit;Mfx_MulDiv_s32s32s32_s16;ALL_bc_with_context.c:458611.28-86;Process 42
Appl_SccCbk_Set_DIN_EVSEMaximumPowerLimit;HLCCcs_ConvPhysImpl___2386;ALL_bc_with_context.c:458623.30-136;Process 42
Appl_SccCbk_Set_DIN_EVSEMaximumVoltageLimit;HLCCcs_ConvPhysImpl___2386;ALL_bc_with_context.c:458635.28-139;Process 42
Appl_SccCbk_Set_DIN_EVSEMinimumCurrentLimit;HLCCcs_ConvPhysImpl___2386;ALL_bc_with_context.c:458646.17-128;Process 42
Appl_SccCbk_Set_DIN_EVSEMinimumCurrentLimit;Mfx_MulDiv_s32s32s32_s16;ALL_bc_with_context.c:458648.24-82;Process 42
Appl_SccCbk_Set_DIN_EVSEMinimumVoltageLimit;HLCCcs_ConvPhysImpl___2386;ALL_bc_with_context.c:458655.24-135;Process 42
Appl_SccCbk_Set_DIN_EVSEPeakCurrentRipple;HLCCcs_ConvPhysImpl___2386;ALL_bc_with_context.c:458664.17-124;Process 42
Appl_SccCbk_Set_DIN_EVSEPeakCurrentRipple;Mfx_MulDiv_s32s32s32_s16;ALL_bc_with_context.c:458666.28-86;Process 42
Appl_SccCbk_Set_DIN_EVSEPresentCurrent;HLCCcs_ConvPhysImpl___2386;ALL_bc_with_context.c:458882.17-118;Process 42
Appl_SccCbk_Set_DIN_EVSEPresentCurrent;Mfx_MulDiv_s32s32s32_s16;ALL_bc_with_context.c:458884.26-84;Process 42
Appl_SccCbk_Set_DIN_EVSEPresentVoltage;HLCCcs_ConvPhysImpl___2386;ALL_bc_with_context.c:458891.26-127;Process 42
Appl_SccCbk_Set_ISO_DC_EVSECurrentRegulationTolerance;HLCCcs_ConvPhysImpl___2386;ALL_bc_with_context.c:460294.21-146;Process 42
Appl_SccCbk_Set_ISO_DC_EVSECurrentRegulationTolerance;Mfx_MulDiv_s32s32s32_s16;ALL_bc_with_context.c:460296.33-91;Process 42
Appl_SccCbk_Set_ISO_DC_EVSEMaximumCurrentLimit;HLCCcs_ConvPhysImpl___2386;ALL_bc_with_context.c:460310.21-132;Process 42
Appl_SccCbk_Set_ISO_DC_EVSEMaximumCurrentLimit;Mfx_MulDiv_s32s32s32_s16;ALL_bc_with_context.c:460312.28-86;Process 42
Appl_SccCbk_Set_ISO_DC_EVSEMaximumPowerLimit;HLCCcs_ConvPhysImpl___2386;ALL_bc_with_context.c:460324.30-136;Process 42
Appl_SccCbk_Set_ISO_DC_EVSEMaximumVoltageLimit;HLCCcs_ConvPhysImpl___2386;ALL_bc_with_context.c:460336.28-139;Process 42
Appl_SccCbk_Set_ISO_DC_EVSEMinimumCurrentLimit;HLCCcs_ConvPhysImpl___2386;ALL_bc_with_context.c:460347.17-128;Process 42
Appl_SccCbk_Set_ISO_DC_EVSEMinimumCurrentLimit;Mfx_MulDiv_s32s32s32_s16;ALL_bc_with_context.c:460349.24-82;Process 42
Appl_SccCbk_Set_ISO_DC_EVSEMinimumVoltageLimit;HLCCcs_ConvPhysImpl___2386;ALL_bc_with_context.c:460356.24-135;Process 42
Appl_SccCbk_Set_ISO_DC_EVSEPeakCurrentRipple;HLCCcs_ConvPhysImpl___2386;ALL_bc_with_context.c:460365.17-124;Process 42
Appl_SccCbk_Set_ISO_DC_EVSEPeakCurrentRipple;Mfx_MulDiv_s32s32s32_s16;ALL_bc_with_context.c:460367.28-86;Process 42
Appl_SccCbk_Set_ISO_DC_EVSEPresentCurrent;HLCCcs_ConvPhysImpl___2386;ALL_bc_with_context.c:460722.17-118;Process 42
Appl_SccCbk_Set_ISO_DC_EVSEPresentCurrent;Mfx_MulDiv_s32s32s32_s16;ALL_bc_with_context.c:460724.26-84;Process 42
Appl_SccCbk_Set_ISO_DC_EVSEPresentVoltage;HLCCcs_ConvPhysImpl___2386;ALL_bc_with_context.c:460731.26-127;Process 42
Appl_SccCbk_Set_ISO_SAScheduleList;HLCCcs_ConvPhysImpl___2386;ALL_bc_with_context.c:460398.51-151;Process 42
ApplRand_GetRandArray;ApplRand_GetRandNo;ALL_bc_with_context.c:433651.11-31;Process 42
ApplRand_GetRandArray;ApplRand_GetRandNo;ALL_bc_with_context.c:433659.11-31;Process 42
ApplRand_Init;EthIf_GetPhysAddr;ALL_bc_with_context.c:469661.2-35;main-process
ATS_checkMonitoring;ATS_CallBackFunc_monitoring;ALL_bc_with_context.c:606.1-39;Process 42
ATS_checkMonitoring;ATS_GetConfigByID;ALL_bc_with_context.c:608.24-52;Process 42
ATS_checkMonitoring;ATS_additionalMonitorings;ALL_bc_with_context.c:588.16-52;Process 42
ATS_Monitor_Proc;ATS_checkMonitoring;ALL_bc_with_context.c:794.16-46;Process 42
ATS_Monitor_Proc_Ini;ATS_ResetAll;ALL_bc_with_context.c:844.4-18;main-process
ATS_SubsVal;ATS_GetEnaCond;ALL_bc_with_context.c:111550.5-30;Process 42
ATS_SubsVal;ATS_GetStatus;ALL_bc_with_context.c:111548.8-32;Process 42
ATS_SubsVal;ATS_UpdActrVal;ALL_bc_with_context.c:111558.4-39;Process 42
ATS_SubsVal8;ATS_GetEnaCond;ALL_bc_with_context.c:373943.5-30;Process 42
ATS_SubsVal8;ATS_GetStatus;ALL_bc_with_context.c:373941.8-32;Process 42
ATS_SubsVal8;ATS_UpdActrVal8;ALL_bc_with_context.c:373952.4-40;Process 42
ATS_SubsVal_ASCETS16;ATS_GetEnaCond;ALL_bc_with_context.c:100560.12-37;Process 42
ATS_SubsVal_ASCETS16;ATS_GetStatus;ALL_bc_with_context.c:100558.8-32;Process 42
ATS_SubsVal_ASCETS16;ATS_UpdActrVal;ALL_bc_with_context.c:100570.4-38;Process 42
B_DESEEHR_MSG_CLASS_IMPL_calc___2155;Dps_ClrErrTrace___2155;ALL_bc_with_context.c:346358.8-32;Process 42
BattU_DDRead;Adc_Get___3701;ALL_bc_with_context.c:325001.17-35;Process 42
BattU_DDRead;Mfx_Div_s32s32_u8;ALL_bc_with_context.c:325004.22-85;Process 42
BattU_DDRead;SrvX_IpoCurveS16;ALL_bc_with_context.c:325002.14-87;Process 42
BrkECU_Brk_Proc_1000ms;ComCil_Brk_ESP20;ALL_bc_with_context.c:1020.4-22;Process 42
BrkECU_Brk_Proc_100ms;ComCil_Brk_ACC06;ALL_bc_with_context.c:1159.4-22;Process 42
BrkECU_Brk_Proc_100ms;ComCil_Brk_ESP07;ALL_bc_with_context.c:1158.4-22;Process 42
BrkECU_Brk_Proc_10ms;ComCil_Brk_ESP19;ALL_bc_with_context.c:1223.4-22;Process 42
BrkECU_Brk_Proc_10ms;ComCil_Brk_LWI_01;ALL_bc_with_context.c:1229.4-23;Process 42
BrkECU_Brk_Proc_10ms;ComCil_gw_BCM_01;ALL_bc_with_context.c:1230.4-22;Process 42
BrkECU_Brk_Proc_20ms;ComCil_Brk_ESP02;ALL_bc_with_context.c:1475.4-22;Process 42
BrkECU_Brk_Proc_20ms;ComCil_Brk_ESP05;ALL_bc_with_context.c:1476.4-22;Process 42
BrkECU_Brk_Proc_20ms;ComCil_Brk_ESP10;ALL_bc_with_context.c:1477.4-22;Process 42
BrkECU_Brk_Proc_20ms;ComCil_Brk_ESP21;ALL_bc_with_context.c:1478.4-22;Process 42
BswM_CanSM_CurrentState;BswM_Prv_GetCanSMMRPIndex_b;ALL_bc_with_context.c:82750.28-74;Process 42
BswM_CanSM_CurrentState;BswM_Prv_InterruptHandler;ALL_bc_with_context.c:82808.4-39;Process 42
BswM_CanSM_CurrentState;BswM_Prv_ProcessDeferredReqst;ALL_bc_with_context.c:82795.20-51;Process 42
BswM_CanSM_CurrentState;BswM_Prv_ProcessDelayedReqst;ALL_bc_with_context.c:82779.20-50;Process 42
BswM_CanSM_CurrentState;BswM_Prv_ReqProcessOrQueue_b;ALL_bc_with_context.c:82774.27-126;Process 42
BswM_CanSM_CurrentState;BswM_Prv_RuleEval;ALL_bc_with_context.c:82789.16-175;Process 42
BswM_CanSM_CurrentState;Det_ReportError;ALL_bc_with_context.c:82745.14-68;Process 42
BswM_CanSM_CurrentState;Det_ReportError;ALL_bc_with_context.c:82755.18-72;Process 42
BswM_Dcm_CommunicationMode_CurrentState;BswM_Prv_GetDcmComModeRequestMRPIndex_b;ALL_bc_with_context.c:239880.29-87;Process 42
BswM_Dcm_CommunicationMode_CurrentState;BswM_Prv_InterruptHandler;ALL_bc_with_context.c:239944.4-39;Process 42
BswM_Dcm_CommunicationMode_CurrentState;BswM_Prv_ProcessDeferredReqst;ALL_bc_with_context.c:239932.20-51;Process 42
BswM_Dcm_CommunicationMode_CurrentState;BswM_Prv_ProcessDelayedReqst;ALL_bc_with_context.c:239916.20-50;Process 42
BswM_Dcm_CommunicationMode_CurrentState;BswM_Prv_ReqProcessOrQueue_b;ALL_bc_with_context.c:239911.27-136;Process 42
BswM_Dcm_CommunicationMode_CurrentState;BswM_Prv_RuleEval;ALL_bc_with_context.c:239926.16-187;Process 42
BswM_Dcm_CommunicationMode_CurrentState;Det_ReportError;ALL_bc_with_context.c:239875.14-68;Process 42
BswM_Dcm_CommunicationMode_CurrentState;Det_ReportError;ALL_bc_with_context.c:239885.18-72;Process 42
BswM_Init;BswM_Prv_CopyModeInitValues;ALL_bc_with_context.c:371757.16-45;main-process
BswM_Init;BswM_Prv_CopyRuleInitSates;ALL_bc_with_context.c:371760.16-44;main-process
BswM_LinSM_CurrentState;BswM_Prv_GetLinSmCurrentStateIndex_b;ALL_bc_with_context.c:154586.28-84;Process 42
BswM_LinSM_CurrentState;BswM_Prv_InterruptHandler;ALL_bc_with_context.c:154641.4-39;Process 42
BswM_LinSM_CurrentState;BswM_Prv_ProcessDeferredReqst;ALL_bc_with_context.c:154627.20-51;Process 42
BswM_LinSM_CurrentState;BswM_Prv_ProcessDelayedReqst;ALL_bc_with_context.c:154612.20-50;Process 42
BswM_LinSM_CurrentState;BswM_Prv_ReqProcessOrQueue_b;ALL_bc_with_context.c:154607.27-126;Process 42
BswM_LinSM_CurrentState;BswM_Prv_RuleEval;ALL_bc_with_context.c:154621.16-211;Process 42
BswM_LinSM_CurrentState;Det_ReportError;ALL_bc_with_context.c:154581.14-68;Process 42
BswM_MainFunction;BswM_Prv_ProcessDeferredReqst;ALL_bc_with_context.c:569149.12-43;Process 42
BswM_Prv_Action_BswMPduGroupSwitch;Com_SetIpduGroup;ALL_bc_with_context.c:75305.12-130;Process 42
BswM_Prv_Action_BswMPduGroupSwitch;Com_SetIpduGroup;ALL_bc_with_context.c:75306.12-129;Process 42
BswM_Prv_Action_BswMPduGroupSwitch;Com_SetIpduGroup;ALL_bc_with_context.c:75311.12-129;Process 42
BswM_Prv_Action_BswMPduGroupSwitch;Com_SetIpduGroup;ALL_bc_with_context.c:75312.12-128;Process 42
BswM_Prv_Action_BswMPduGroupSwitch;Com_SetIpduGroup;ALL_bc_with_context.c:75321.9-126;Process 42
BswM_Prv_Action_BswMPduGroupSwitch;Com_SetIpduGroup;ALL_bc_with_context.c:75326.8-124;Process 42
BswM_Prv_Action_BswMPduGroupSwitch;Com_SetIpduGroup;ALL_bc_with_context.c:75305.12-130;main-process
BswM_Prv_Action_BswMPduGroupSwitch;Com_SetIpduGroup;ALL_bc_with_context.c:75306.12-129;main-process
BswM_Prv_Action_BswMPduGroupSwitch;Com_SetIpduGroup;ALL_bc_with_context.c:75311.12-129;main-process
BswM_Prv_Action_BswMPduGroupSwitch;Com_SetIpduGroup;ALL_bc_with_context.c:75312.12-128;main-process
BswM_Prv_Action_BswMPduGroupSwitch;Com_SetIpduGroup;ALL_bc_with_context.c:75321.9-126;main-process
BswM_Prv_Action_BswMPduGroupSwitch;Com_SetIpduGroup;ALL_bc_with_context.c:75326.8-124;main-process
BswM_Prv_Action_ComMAllowCom;ComM_CommunicationAllowed;ALL_bc_with_context.c:75471.4-108;Process 42
BswM_Prv_Action_ComMAllowCom;ComM_CommunicationAllowed;ALL_bc_with_context.c:75471.4-108;main-process
BswM_Prv_Action_ComMModeSwitch;ComM_RequestComMode;ALL_bc_with_context.c:75797.29-104;Process 42
BswM_Prv_Action_ComMModeSwitch;ComM_RequestComMode;ALL_bc_with_context.c:75801.29-104;Process 42
BswM_Prv_Action_ComMModeSwitch;ComM_RequestComMode;ALL_bc_with_context.c:75797.29-104;main-process
BswM_Prv_Action_ComMModeSwitch;ComM_RequestComMode;ALL_bc_with_context.c:75801.29-104;main-process
BswM_Prv_Action_LINScheduleSwitch;LinSM_ScheduleRequest;ALL_bc_with_context.c:76379.25-116;Process 42
BswM_Prv_Action_LINScheduleSwitch;LinSM_ScheduleRequest;ALL_bc_with_context.c:76379.25-116;main-process
BswM_Prv_Action_NmControl;Nm_DisableCommunication;ALL_bc_with_context.c:81579.29-86;Process 42
BswM_Prv_Action_NmControl;Nm_EnableCommunication;ALL_bc_with_context.c:81583.29-85;Process 42
BswM_Prv_Action_NmControl;Nm_DisableCommunication;ALL_bc_with_context.c:81579.29-86;main-process
BswM_Prv_Action_NmControl;Nm_EnableCommunication;ALL_bc_with_context.c:81583.29-85;main-process
BswM_Prv_Arbitrate_Rule;BswM_Prv_Evaluate_Rule;ALL_bc_with_context.c:82228.16-80;Process 42
BswM_Prv_Arbitrate_Rule;BswM_Prv_Evaluate_Rule;ALL_bc_with_context.c:82228.16-80;main-process
BswM_Prv_CalcPduGrpSwt;Com_IpduGroupControl;ALL_bc_with_context.c:75234.6-71;Process 42
BswM_Prv_CalcPduGrpSwt;Com_IpduGroupControl;ALL_bc_with_context.c:75236.6-70;Process 42
BswM_Prv_CalcPduGrpSwt;Com_IpduGroupControl;ALL_bc_with_context.c:75234.6-71;main-process
BswM_Prv_CalcPduGrpSwt;Com_IpduGroupControl;ALL_bc_with_context.c:75236.6-70;main-process
BswM_Prv_Evaluate_Action;BswM_Prv_Action_BswMPduGroupSwitch;ALL_bc_with_context.c:81729.12-119;Process 42
BswM_Prv_Evaluate_Action;BswM_Prv_Action_BswMSwitchIPduMode;ALL_bc_with_context.c:81729.12-119;Process 42
BswM_Prv_Evaluate_Action;BswM_Prv_Action_BswMTriggerIPduSend;ALL_bc_with_context.c:81729.12-119;Process 42
BswM_Prv_Evaluate_Action;BswM_Prv_Action_ComMAllowCom;ALL_bc_with_context.c:81729.12-119;Process 42
BswM_Prv_Evaluate_Action;BswM_Prv_Action_ComMModeLimit;ALL_bc_with_context.c:81729.12-119;Process 42
BswM_Prv_Evaluate_Action;BswM_Prv_Action_ComMModeSwitch;ALL_bc_with_context.c:81729.12-119;Process 42
BswM_Prv_Evaluate_Action;BswM_Prv_Action_DeadlineMntCtrl;ALL_bc_with_context.c:81729.12-119;Process 42
BswM_Prv_Evaluate_Action;BswM_Prv_Action_EcuMStateSwitch;ALL_bc_with_context.c:81729.12-119;Process 42
BswM_Prv_Evaluate_Action;BswM_Prv_Action_EthIfSwitchPortGroup;ALL_bc_with_context.c:81729.12-119;Process 42
BswM_Prv_Evaluate_Action;BswM_Prv_Action_J1939DcmStateSwitch;ALL_bc_with_context.c:81729.12-119;Process 42
BswM_Prv_Evaluate_Action;BswM_Prv_Action_J1939RmStateSwitch;ALL_bc_with_context.c:81729.12-119;Process 42
BswM_Prv_Evaluate_Action;BswM_Prv_Action_LINScheduleSwitch;ALL_bc_with_context.c:81729.12-119;Process 42
BswM_Prv_Evaluate_Action;BswM_Prv_Action_NmControl;ALL_bc_with_context.c:81729.12-119;Process 42
BswM_Prv_Evaluate_Action;BswM_Prv_Action_PduRGrpCtrl;ALL_bc_with_context.c:81729.12-119;Process 42
BswM_Prv_Evaluate_Action;BswM_Prv_Action_RbSwcUserCallout;ALL_bc_with_context.c:81729.12-119;Process 42
BswM_Prv_Evaluate_Action;BswM_Prv_Action_RteModeRequest;ALL_bc_with_context.c:81729.12-119;Process 42
BswM_Prv_Evaluate_Action;BswM_Prv_Action_RteSwitch;ALL_bc_with_context.c:81729.12-119;Process 42
BswM_Prv_Evaluate_Action;BswM_Prv_Action_SchMSwitch;ALL_bc_with_context.c:81729.12-119;Process 42
BswM_Prv_Evaluate_Action;BswM_Prv_Action_SdClientServiceModeRequest;ALL_bc_with_context.c:81729.12-119;Process 42
BswM_Prv_Evaluate_Action;BswM_Prv_Action_SdConsumedEventGroupModeRequest;ALL_bc_with_context.c:81729.12-119;Process 42
BswM_Prv_Evaluate_Action;BswM_Prv_Action_SdServerServiceModeRequest;ALL_bc_with_context.c:81729.12-119;Process 42
BswM_Prv_Evaluate_Action;BswM_Prv_Action_UserCallout;ALL_bc_with_context.c:81729.12-119;Process 42
BswM_Prv_Evaluate_Action;BswM_Prv_Action_BswMPduGroupSwitch;ALL_bc_with_context.c:81729.12-119;main-process
BswM_Prv_Evaluate_Action;BswM_Prv_Action_BswMSwitchIPduMode;ALL_bc_with_context.c:81729.12-119;main-process
BswM_Prv_Evaluate_Action;BswM_Prv_Action_BswMTriggerIPduSend;ALL_bc_with_context.c:81729.12-119;main-process
BswM_Prv_Evaluate_Action;BswM_Prv_Action_ComMAllowCom;ALL_bc_with_context.c:81729.12-119;main-process
BswM_Prv_Evaluate_Action;BswM_Prv_Action_ComMModeLimit;ALL_bc_with_context.c:81729.12-119;main-process
BswM_Prv_Evaluate_Action;BswM_Prv_Action_ComMModeSwitch;ALL_bc_with_context.c:81729.12-119;main-process
BswM_Prv_Evaluate_Action;BswM_Prv_Action_DeadlineMntCtrl;ALL_bc_with_context.c:81729.12-119;main-process
BswM_Prv_Evaluate_Action;BswM_Prv_Action_EcuMStateSwitch;ALL_bc_with_context.c:81729.12-119;main-process
BswM_Prv_Evaluate_Action;BswM_Prv_Action_EthIfSwitchPortGroup;ALL_bc_with_context.c:81729.12-119;main-process
BswM_Prv_Evaluate_Action;BswM_Prv_Action_J1939DcmStateSwitch;ALL_bc_with_context.c:81729.12-119;main-process
BswM_Prv_Evaluate_Action;BswM_Prv_Action_J1939RmStateSwitch;ALL_bc_with_context.c:81729.12-119;main-process
BswM_Prv_Evaluate_Action;BswM_Prv_Action_LINScheduleSwitch;ALL_bc_with_context.c:81729.12-119;main-process
BswM_Prv_Evaluate_Action;BswM_Prv_Action_NmControl;ALL_bc_with_context.c:81729.12-119;main-process
BswM_Prv_Evaluate_Action;BswM_Prv_Action_PduRGrpCtrl;ALL_bc_with_context.c:81729.12-119;main-process
BswM_Prv_Evaluate_Action;BswM_Prv_Action_RbSwcUserCallout;ALL_bc_with_context.c:81729.12-119;main-process
BswM_Prv_Evaluate_Action;BswM_Prv_Action_RteModeRequest;ALL_bc_with_context.c:81729.12-119;main-process
