sep=;
Variable;Function;Access;Process;Data races;Shared variable;Byte offset;Location
Scc_Exi_StructBufUnion;Exi_VBSDecodeBigInt;read;Process 42;no;no;[0,9997];ALL_bc_with_context.c:445712.12-28
Scc_Exi_StructBufUnion;Exi_VBSDecodeBigInt;read;Process 42;no;no;[2,9998];ALL_bc_with_context.c:445752.8-28
Scc_Exi_StructBufUnion;Exi_VBSDecodeBigInt;read;Process 42;no;no;[4,9999];ALL_bc_with_context.c:445763.21-57
Scc_Exi_StructBufUnion;Exi_VBSDecodeBigInt;read;Process 42;no;no;[4,9999];ALL_bc_with_context.c:445766.10-46
Scc_Exi_StructBufUnion;Exi_VBSDecodeBigInt;read;Process 42;no;no;[0,9995];ALL_bc_with_context.c:445777.25-41
Scc_Exi_StructBufUnion;Exi_VBSDecodeBigInt;read;Process 42;no;no;[0,9995];ALL_bc_with_context.c:445780.15-31
Scc_Exi_StructBufUnion;Exi_VBSDecodeBigInt;read;Process 42;no;no;[0,9995];ALL_bc_with_context.c:445783.12-28
Scc_Exi_StructBufUnion;Exi_Decode_XMLSIG_SignatureMethod;read;Process 42;no;no;[8,9997];ALL_bc_with_context.c:445889.34-61
Scc_Exi_StructBufUnion;Exi_Decode_XMLSIG_SignatureMethod;read;Process 42;no;no;[8,9997];ALL_bc_with_context.c:445893.46-73
Scc_Exi_StructBufUnion;Exi_Decode_XMLSIG_SignatureMethod;read;Process 42;no;no;[12,9998];ALL_bc_with_context.c:445917.12-43
Scc_Exi_StructBufUnion;Exi_Decode_XMLSIG_SignatureMethod;read;Process 42;no;no;[12,9998];ALL_bc_with_context.c:445931.13-44
Scc_Exi_StructBufUnion;Exi_Decode_XMLSIG_SignatureMethod;read;Process 42;no;no;[12,9998];ALL_bc_with_context.c:445931.55-84
Scc_Exi_StructBufUnion;Exi_Decode_XMLSIG_SignatureMethod;read;Process 42;no;no;[12,9998];ALL_bc_with_context.c:445939.17-48
Scc_Exi_StructBufUnion;Exi_Decode_XMLSIG_SignatureMethod;read;Process 42;no;no;[12,9998];ALL_bc_with_context.c:445968.12-41
Scc_Exi_StructBufUnion;Exi_Decode_XMLSIG_SignatureMethod;read;Process 42;no;no;[4,9993];ALL_bc_with_context.c:445970.6-31
Scc_Exi_StructBufUnion;Exi_Decode_XMLSIG_SignatureMethod;read;Process 42;no;no;[4,9993];ALL_bc_with_context.c:445986.27-52
Scc_Exi_StructBufUnion;Exi_Decode_XMLSIG_SignatureMethod;read;Process 42;no;no;[12,9998];ALL_bc_with_context.c:446016.14-43
Scc_Exi_StructBufUnion;Exi_Decode_XMLSIG_SignedInfo;read;Process 42;no;no;[16,9998];ALL_bc_with_context.c:446112.12-29
Scc_Exi_StructBufUnion;Exi_Decode_XMLSIG_SignedInfo;read;Process 42;no;no;[8,9993];ALL_bc_with_context.c:446219.4-24
Scc_Exi_StructBufUnion;Exi_Decode_XMLSIG_SignedInfo;read;Process 42;no;no;[8,9993];ALL_bc_with_context.c:446235.20-40
Scc_Exi_StructBufUnion;Exi_Decode_XMLSIG_SignedInfo;read;Process 42;no;no;[12,9999];ALL_bc_with_context.c:446253.24-55
Scc_Exi_StructBufUnion;Exi_Decode_XMLSIG_Signature;read;Process 42;no;no;[20,9998];ALL_bc_with_context.c:446392.12-29
Scc_Exi_StructBufUnion;Exi_Decode_XMLSIG_Signature;read;Process 42;no;no;[20,9998];ALL_bc_with_context.c:446505.12-34
Scc_Exi_StructBufUnion;Exi_Decode_XMLSIG_Signature;read;Process 42;no;no;[20,9998];ALL_bc_with_context.c:446514.13-35
Scc_Exi_StructBufUnion;Exi_Decode_XMLSIG_Signature;read;Process 42;no;no;[20,9998];ALL_bc_with_context.c:446514.46-67
Scc_Exi_StructBufUnion;Exi_Decode_XMLSIG_Signature;read;Process 42;no;no;[20,9998];ALL_bc_with_context.c:446522.17-39
Scc_Exi_StructBufUnion;Exi_Decode_XMLSIG_Signature;read;Process 42;no;no;[20,9998];ALL_bc_with_context.c:446551.12-33
Scc_Exi_StructBufUnion;Exi_Decode_XMLSIG_Signature;read;Process 42;no;no;[8,9989];ALL_bc_with_context.c:446553.6-23
Scc_Exi_StructBufUnion;Exi_Decode_XMLSIG_Signature;read;Process 42;no;no;[8,9989];ALL_bc_with_context.c:446569.19-36
Scc_Exi_StructBufUnion;Exi_Decode_XMLSIG_Signature;read;Process 42;no;no;[20,9998];ALL_bc_with_context.c:446599.14-35
Scc_Exi_StructBufUnion;Exi_Decode_DIN_MessageHeader;read;Process 42;no;no;[12,9998];ALL_bc_with_context.c:446721.12-39
Scc_Exi_StructBufUnion;Exi_Decode_DIN_MessageHeader;read;Process 42;no;no;[12,9998];ALL_bc_with_context.c:446730.13-40
Scc_Exi_StructBufUnion;Exi_Decode_DIN_MessageHeader;read;Process 42;no;no;[12,9998];ALL_bc_with_context.c:446730.51-75
Scc_Exi_StructBufUnion;Exi_Decode_DIN_MessageHeader;read;Process 42;no;no;[12,9998];ALL_bc_with_context.c:446747.17-44
Scc_Exi_StructBufUnion;Exi_Decode_DIN_MessageHeader;read;Process 42;no;no;[12,9998];ALL_bc_with_context.c:446785.12-36
Scc_Exi_StructBufUnion;Exi_Decode_ISO_DC_EVSEStatus;read;Process 42;no;no;[16,9998];ALL_bc_with_context.c:447618.12-46
Scc_Exi_StructBufUnion;Exi_Decode_ISO_DC_EVSEStatus;read;Process 42;no;no;[16,9998];ALL_bc_with_context.c:447632.12-46
Scc_Exi_StructBufUnion;Exi_Decode_ISO_DC_EVSEChargeParameter;read;Process 42;no;no;[36,9998];ALL_bc_with_context.c:448738.12-57
Scc_Exi_StructBufUnion;Exi_Decode_ISO_DC_EVSEChargeParameter;read;Process 42;no;no;[36,9998];ALL_bc_with_context.c:448752.12-57
Scc_Exi_StructBufUnion;Exi_Decode_ISO_DC_EVSEChargeParameter;read;Process 42;no;no;[36,9998];ALL_bc_with_context.c:448836.12-50
Scc_Exi_StructBufUnion;Exi_Decode_ISO_RelativeTimeInterval;read;Process 42;no;no;[8,9998];ALL_bc_with_context.c:449007.12-35
Scc_Exi_StructBufUnion;Exi_Decode_ISO_PMaxSchedule;read;Process 42;no;no;all;ALL_bc_with_context.c:449288.4-32
Scc_Exi_StructBufUnion;Exi_Decode_ISO_PMaxSchedule;read;Process 42;no;no;all;ALL_bc_with_context.c:449304.28-56
Scc_Exi_StructBufUnion;Exi_Decode_ISO_PMaxSchedule;read;Process 42;no;no;all;ALL_bc_with_context.c:449321.32-79
Scc_Exi_StructBufUnion;Exi_Decode_ISO_Cost;read;Process 42;no;no;[13,9999];ALL_bc_with_context.c:449613.12-43
Scc_Exi_StructBufUnion;Exi_Decode_ISO_ConsumptionCost;read;Process 42;no;no;all;ALL_bc_with_context.c:449747.4-19
Scc_Exi_StructBufUnion;Exi_Decode_ISO_ConsumptionCost;read;Process 42;no;no;all;ALL_bc_with_context.c:449758.15-30
Scc_Exi_StructBufUnion;Exi_Decode_ISO_ConsumptionCost;read;Process 42;no;no;all;ALL_bc_with_context.c:449776.19-40
Scc_Exi_StructBufUnion;Exi_Decode_ISO_SalesTariffEntry;read;Process 42;no;no;[15,9999];ALL_bc_with_context.c:449979.12-38
Scc_Exi_StructBufUnion;Exi_Decode_ISO_SalesTariffEntry;read;Process 42;no;no;[15,9999];ALL_bc_with_context.c:449993.13-39
Scc_Exi_StructBufUnion;Exi_Decode_ISO_SalesTariffEntry;read;Process 42;no;no;[15,9999];ALL_bc_with_context.c:449993.50-80
Scc_Exi_StructBufUnion;Exi_Decode_ISO_SalesTariffEntry;read;Process 42;no;no;[15,9999];ALL_bc_with_context.c:450010.17-43
Scc_Exi_StructBufUnion;Exi_Decode_ISO_SalesTariffEntry;read;Process 42;no;no;[15,9999];ALL_bc_with_context.c:450048.12-42
Scc_Exi_StructBufUnion;Exi_Decode_ISO_SalesTariffEntry;read;Process 42;no;no;[0,9987];ALL_bc_with_context.c:450050.6-32
Scc_Exi_StructBufUnion;Exi_Decode_ISO_SalesTariffEntry;read;Process 42;no;no;[0,9987];ALL_bc_with_context.c:450061.28-54
Scc_Exi_StructBufUnion;Exi_Decode_ISO_SalesTariffEntry;read;Process 42;no;no;[4,9999];ALL_bc_with_context.c:450079.32-75
Scc_Exi_StructBufUnion;Exi_Decode_ISO_SalesTariff;read;Process 42;no;no;[14,9998];ALL_bc_with_context.c:450306.12-29
Scc_Exi_StructBufUnion;Exi_Decode_ISO_SalesTariff;read;Process 42;no;no;[14,9998];ALL_bc_with_context.c:450407.12-49
Scc_Exi_StructBufUnion;Exi_Decode_ISO_SalesTariff;read;Process 42;no;no;[14,9998];ALL_bc_with_context.c:450421.13-50
Scc_Exi_StructBufUnion;Exi_Decode_ISO_SalesTariff;read;Process 42;no;no;[14,9998];ALL_bc_with_context.c:450421.61-91
Scc_Exi_StructBufUnion;Exi_Decode_ISO_SalesTariff;read;Process 42;no;no;[14,9998];ALL_bc_with_context.c:450441.17-54
Scc_Exi_StructBufUnion;Exi_Decode_ISO_SalesTariff;read;Process 42;no;no;[14,9998];ALL_bc_with_context.c:450482.12-42
Scc_Exi_StructBufUnion;Exi_Decode_ISO_SalesTariff;read;Process 42;no;no;[14,9998];ALL_bc_with_context.c:450496.12-42
Scc_Exi_StructBufUnion;Exi_Decode_ISO_SalesTariff;read;Process 42;no;no;[8,9995];ALL_bc_with_context.c:450542.4-31
Scc_Exi_StructBufUnion;Exi_Decode_ISO_SalesTariff;read;Process 42;no;no;[8,9995];ALL_bc_with_context.c:450553.27-54
Scc_Exi_StructBufUnion;Exi_Decode_ISO_SalesTariff;read;Process 42;no;no;[4,9999];ALL_bc_with_context.c:450571.31-76
Scc_Exi_StructBufUnion;Exi_Decode_ISO_SAScheduleTuple;read;Process 42;no;no;[13,9999];ALL_bc_with_context.c:450758.12-38
Scc_Exi_StructBufUnion;Exi_Decode_ISO_SAScheduleList;read;Process 42;no;no;all;ALL_bc_with_context.c:450853.4-30
Scc_Exi_StructBufUnion;Exi_Decode_ISO_SAScheduleList;read;Process 42;no;no;all;ALL_bc_with_context.c:450864.26-52
Scc_Exi_StructBufUnion;Exi_Decode_ISO_SAScheduleList;read;Process 42;no;no;all;ALL_bc_with_context.c:450882.30-73
Scc_Exi_StructBufUnion;Exi_Decode_ISO_ChargeParameterDiscoveryRes;read;Process 42;no;no;[20,9998];ALL_bc_with_context.c:451108.12-38
Scc_Exi_StructBufUnion;Exi_Decode_ISO_ChargeParameterDiscoveryRes;read;Process 42;no;no;[20,9998];ALL_bc_with_context.c:451117.12-38
Scc_Exi_StructBufUnion;Exi_Decode_ISO_MeterInfo;read;Process 42;no;no;[26,9998];ALL_bc_with_context.c:451500.12-39
Scc_Exi_StructBufUnion;Exi_Decode_ISO_MeterInfo;read;Process 42;no;no;[26,9998];ALL_bc_with_context.c:451514.13-40
Scc_Exi_StructBufUnion;Exi_Decode_ISO_MeterInfo;read;Process 42;no;no;[26,9998];ALL_bc_with_context.c:451514.51-81
Scc_Exi_StructBufUnion;Exi_Decode_ISO_MeterInfo;read;Process 42;no;no;[26,9998];ALL_bc_with_context.c:451530.17-44
Scc_Exi_StructBufUnion;Exi_Decode_ISO_MeterInfo;read;Process 42;no;no;[26,9998];ALL_bc_with_context.c:451577.12-42
Scc_Exi_StructBufUnion;Exi_Decode_ISO_MeterInfo;read;Process 42;no;no;[26,9998];ALL_bc_with_context.c:451591.13-43
Scc_Exi_StructBufUnion;Exi_Decode_ISO_MeterInfo;read;Process 42;no;no;[26,9998];ALL_bc_with_context.c:451591.54-80
Scc_Exi_StructBufUnion;Exi_Decode_ISO_MeterInfo;read;Process 42;no;no;[26,9998];ALL_bc_with_context.c:451611.17-47
Scc_Exi_StructBufUnion;Exi_Decode_ISO_MeterInfo;read;Process 42;no;no;[26,9998];ALL_bc_with_context.c:451657.12-38
Scc_Exi_StructBufUnion;Exi_Decode_ISO_MeterInfo;read;Process 42;no;no;[26,9998];ALL_bc_with_context.c:451671.13-39
Scc_Exi_StructBufUnion;Exi_Decode_ISO_MeterInfo;read;Process 42;no;no;[26,9998];ALL_bc_with_context.c:451671.50-71
Scc_Exi_StructBufUnion;Exi_Decode_ISO_MeterInfo;read;Process 42;no;no;[26,9998];ALL_bc_with_context.c:451691.17-43
Scc_Exi_StructBufUnion;Exi_Decode_ISO_MeterInfo;read;Process 42;no;no;[26,9998];ALL_bc_with_context.c:451732.12-33
Scc_Exi_StructBufUnion;Exi_Decode_ISO_ChargingStatusRes;read;Process 42;no;no;[22,9998];ALL_bc_with_context.c:452026.12-41
Scc_Exi_StructBufUnion;Exi_Decode_ISO_ChargingStatusRes;read;Process 42;no;no;[22,9998];ALL_bc_with_context.c:452040.13-42
Scc_Exi_StructBufUnion;Exi_Decode_ISO_ChargingStatusRes;read;Process 42;no;no;[22,9998];ALL_bc_with_context.c:452040.53-77
Scc_Exi_StructBufUnion;Exi_Decode_ISO_ChargingStatusRes;read;Process 42;no;no;[22,9998];ALL_bc_with_context.c:452057.17-46
Scc_Exi_StructBufUnion;Exi_Decode_ISO_ChargingStatusRes;read;Process 42;no;no;[22,9998];ALL_bc_with_context.c:452100.12-36
Scc_Exi_StructBufUnion;Exi_Decode_ISO_ChargingStatusRes;read;Process 42;no;no;[22,9998];ALL_bc_with_context.c:452109.13-37
Scc_Exi_StructBufUnion;Exi_Decode_ISO_ChargingStatusRes;read;Process 42;no;no;[22,9998];ALL_bc_with_context.c:452109.48-78
Scc_Exi_StructBufUnion;Exi_Decode_ISO_ChargingStatusRes;read;Process 42;no;no;[22,9998];ALL_bc_with_context.c:452129.17-41
Scc_Exi_StructBufUnion;Exi_Decode_ISO_ChargingStatusRes;read;Process 42;no;no;[22,9998];ALL_bc_with_context.c:452170.12-42
Scc_Exi_StructBufUnion;Exi_Decode_ISO_ChargingStatusRes;read;Process 42;no;no;[22,9998];ALL_bc_with_context.c:452184.12-42
Scc_Exi_StructBufUnion;Exi_Decode_ISO_CurrentDemandRes;read;Process 42;no;no;[41,9999];ALL_bc_with_context.c:452620.12-50
Scc_Exi_StructBufUnion;Exi_Decode_ISO_CurrentDemandRes;read;Process 42;no;no;[41,9999];ALL_bc_with_context.c:452634.13-51
Scc_Exi_StructBufUnion;Exi_Decode_ISO_CurrentDemandRes;read;Process 42;no;no;[41,9999];ALL_bc_with_context.c:452634.62-100
Scc_Exi_StructBufUnion;Exi_Decode_ISO_CurrentDemandRes;read;Process 42;no;no;[41,9999];ALL_bc_with_context.c:452650.17-55
Scc_Exi_StructBufUnion;Exi_Decode_ISO_CurrentDemandRes;read;Process 42;no;no;[41,9999];ALL_bc_with_context.c:452692.12-50
Scc_Exi_StructBufUnion;Exi_Decode_ISO_CurrentDemandRes;read;Process 42;no;no;[41,9999];ALL_bc_with_context.c:452706.13-51
Scc_Exi_StructBufUnion;Exi_Decode_ISO_CurrentDemandRes;read;Process 42;no;no;[41,9999];ALL_bc_with_context.c:452706.62-98
Scc_Exi_StructBufUnion;Exi_Decode_ISO_CurrentDemandRes;read;Process 42;no;no;[41,9999];ALL_bc_with_context.c:452722.17-55
Scc_Exi_StructBufUnion;Exi_Decode_ISO_CurrentDemandRes;read;Process 42;no;no;[41,9999];ALL_bc_with_context.c:452759.12-48
Scc_Exi_StructBufUnion;Exi_Decode_ISO_CurrentDemandRes;read;Process 42;no;no;[41,9999];ALL_bc_with_context.c:452773.12-48
Scc_Exi_StructBufUnion;Exi_Decode_ISO_CurrentDemandRes;read;Process 42;no;no;[41,9999];ALL_bc_with_context.c:452904.12-36
Scc_Exi_StructBufUnion;Exi_Decode_ISO_CurrentDemandRes;read;Process 42;no;no;[41,9999];ALL_bc_with_context.c:452913.13-37
Scc_Exi_StructBufUnion;Exi_Decode_ISO_CurrentDemandRes;read;Process 42;no;no;[41,9999];ALL_bc_with_context.c:452913.48-78
Scc_Exi_StructBufUnion;Exi_Decode_ISO_CurrentDemandRes;read;Process 42;no;no;[41,9999];ALL_bc_with_context.c:452933.17-41
Scc_Exi_StructBufUnion;Exi_Decode_ISO_CurrentDemandRes;read;Process 42;no;no;[41,9999];ALL_bc_with_context.c:452974.12-42
Scc_Exi_StructBufUnion;Exi_Decode_ISO_CurrentDemandRes;read;Process 42;no;no;[41,9999];ALL_bc_with_context.c:452995.14-44
Scc_Exi_StructBufUnion;Exi_Decode_ISO_Parameter;read;Process 42;no;no;all;ALL_bc_with_context.c:453676.30-54
Scc_Exi_StructBufUnion;Exi_Decode_ISO_Parameter;read;Process 42;no;no;all;ALL_bc_with_context.c:453694.45-69
Scc_Exi_StructBufUnion;Exi_Decode_ISO_Parameter;read;Process 42;no;no;all;ALL_bc_with_context.c:453702.6-30
Scc_Exi_StructBufUnion;Exi_Decode_ISO_Parameter;read;Process 42;no;no;all;ALL_bc_with_context.c:453713.45-69
Scc_Exi_StructBufUnion;Exi_Decode_ISO_Parameter;read;Process 42;no;no;all;ALL_bc_with_context.c:453721.6-30
Scc_Exi_StructBufUnion;Exi_Decode_ISO_Parameter;read;Process 42;no;no;all;ALL_bc_with_context.c:453732.46-70
Scc_Exi_StructBufUnion;Exi_Decode_ISO_Parameter;read;Process 42;no;no;all;ALL_bc_with_context.c:453740.6-30
Scc_Exi_StructBufUnion;Exi_Decode_ISO_Parameter;read;Process 42;no;no;all;ALL_bc_with_context.c:453751.46-70
Scc_Exi_StructBufUnion;Exi_Decode_ISO_Parameter;read;Process 42;no;no;all;ALL_bc_with_context.c:453759.6-30
Scc_Exi_StructBufUnion;Exi_Decode_ISO_Parameter;read;Process 42;no;no;all;ALL_bc_with_context.c:453764.47-71
Scc_Exi_StructBufUnion;Exi_Decode_ISO_Parameter;read;Process 42;no;no;all;ALL_bc_with_context.c:453770.6-30
Scc_Exi_StructBufUnion;Exi_Decode_ISO_Parameter;read;Process 42;no;no;all;ALL_bc_with_context.c:453779.36-60
Scc_Exi_StructBufUnion;Exi_Decode_ISO_Parameter;read;Process 42;no;no;all;ALL_bc_with_context.c:453785.6-30
Scc_Exi_StructBufUnion;Exi_Decode_ISO_ParameterSet;read;Process 42;no;no;[4,9999];ALL_bc_with_context.c:453917.4-24
Scc_Exi_StructBufUnion;Exi_Decode_ISO_ParameterSet;read;Process 42;no;no;[4,9999];ALL_bc_with_context.c:453933.20-40
Scc_Exi_StructBufUnion;Exi_Decode_ISO_ParameterSet;read;Process 42;no;no;[8,9999];ALL_bc_with_context.c:453950.24-55
Scc_Exi_StructBufUnion;Exi_Decode_ISO_ServiceParameterList;read;Process 42;no;no;all;ALL_bc_with_context.c:454046.4-27
Scc_Exi_StructBufUnion;Exi_Decode_ISO_ServiceParameterList;read;Process 42;no;no;all;ALL_bc_with_context.c:454057.23-46
Scc_Exi_StructBufUnion;Exi_Decode_ISO_ServiceParameterList;read;Process 42;no;no;all;ALL_bc_with_context.c:454075.27-64
Scc_Exi_StructBufUnion;Exi_Decode_ISO_ServiceDetailRes;read;Process 42;no;no;[12,9998];ALL_bc_with_context.c:454262.12-47
Scc_Exi_StructBufUnion;Exi_Decode_ISO_ServiceDetailRes;read;Process 42;no;no;[12,9998];ALL_bc_with_context.c:454278.14-49
Scc_Exi_StructBufUnion;Exi_Decode_ISO_SupportedEnergyTransferMode;read;Process 42;no;no;[24,9998];ALL_bc_with_context.c:454458.8-42
Scc_Exi_StructBufUnion;Exi_Decode_ISO_ChargeService;read;Process 42;no;no;[21,9999];ALL_bc_with_context.c:454794.12-38
Scc_Exi_StructBufUnion;Exi_Decode_ISO_ChargeService;read;Process 42;no;no;[21,9999];ALL_bc_with_context.c:454808.12-38
Scc_Exi_StructBufUnion;Exi_Decode_ISO_ChargeService;read;Process 42;no;no;[21,9999];ALL_bc_with_context.c:454884.12-39
Scc_Exi_StructBufUnion;Exi_Decode_ISO_ChargeService;read;Process 42;no;no;[21,9999];ALL_bc_with_context.c:454898.12-39
Scc_Exi_StructBufUnion;Exi_Decode_ISO_PaymentOptionList;read;Process 42;no;no;[8,9998];ALL_bc_with_context.c:455149.8-37
Scc_Exi_StructBufUnion;Exi_Decode_ISO_Service;read;Process 42;no;no;[21,9999];ALL_bc_with_context.c:455299.12-38
Scc_Exi_StructBufUnion;Exi_Decode_ISO_Service;read;Process 42;no;no;[21,9999];ALL_bc_with_context.c:455313.12-38
Scc_Exi_StructBufUnion;Exi_Decode_ISO_Service;read;Process 42;no;no;[21,9999];ALL_bc_with_context.c:455389.12-39
Scc_Exi_StructBufUnion;Exi_Decode_ISO_Service;read;Process 42;no;no;[21,9999];ALL_bc_with_context.c:455403.12-39
Scc_Exi_StructBufUnion;Exi_Decode_ISO_ServiceList;read;Process 42;no;no;all;ALL_bc_with_context.c:455543.4-22
Scc_Exi_StructBufUnion;Exi_Decode_ISO_ServiceList;read;Process 42;no;no;all;ALL_bc_with_context.c:455559.18-36
Scc_Exi_StructBufUnion;Exi_Decode_ISO_ServiceList;read;Process 42;no;no;all;ALL_bc_with_context.c:455576.22-49
Scc_Exi_StructBufUnion;Exi_Decode_ISO_ServiceDiscoveryRes;read;Process 42;no;no;[16,9998];ALL_bc_with_context.c:455785.12-38
Scc_Exi_StructBufUnion;Exi_Decode_ISO_ServiceDiscoveryRes;read;Process 42;no;no;[16,9998];ALL_bc_with_context.c:455801.14-40
Scc_Exi_StructBufUnion;Exi_Decode_ISO_SessionSetupRes;read;Process 42;no;no;[20,9998];ALL_bc_with_context.c:455979.12-40
Scc_Exi_StructBufUnion;Exi_Decode_ISO_SessionSetupRes;read;Process 42;no;no;[20,9998];ALL_bc_with_context.c:456000.14-42
Scc_Exi_StructBufUnion;Exi_Decode_ISO_Body;read;Process 42;no;no;[6,9998];ALL_bc_with_context.c:456789.12-38
Scc_Exi_StructBufUnion;Exi_Decode_ISO_Notification;read;Process 42;no;no;[8,9998];ALL_bc_with_context.c:457020.12-35
Scc_Exi_StructBufUnion;Exi_Decode_ISO_MessageHeader;read;Process 42;no;no;[12,9998];ALL_bc_with_context.c:457209.12-39
Scc_Exi_StructBufUnion;Exi_Decode_ISO_MessageHeader;read;Process 42;no;no;[12,9998];ALL_bc_with_context.c:457218.13-40
Scc_Exi_StructBufUnion;Exi_Decode_ISO_MessageHeader;read;Process 42;no;no;[12,9998];ALL_bc_with_context.c:457218.51-75
Scc_Exi_StructBufUnion;Exi_Decode_ISO_MessageHeader;read;Process 42;no;no;[12,9998];ALL_bc_with_context.c:457235.17-44
Scc_Exi_StructBufUnion;Exi_Decode_ISO_MessageHeader;read;Process 42;no;no;[12,9998];ALL_bc_with_context.c:457273.12-36
Scc_Exi_StructBufUnion;Exi_Decode_SAP_supportedAppProtocolRes;read;Process 42;no;no;{5};ALL_bc_with_context.c:457662.12-35
Scc_Exi_StructBufUnion;Exi_Decode_SAP_supportedAppProtocolRes;read;Process 42;no;no;{5};ALL_bc_with_context.c:457683.14-37
Scc_Exi_StructBufUnion;IpBase_StrCmpLen;read;Process 42;no;no;all;ALL_bc_with_context.c:458244.9-25
Scc_Exi_StructBufUnion;IpBase_StrCmpLen;read;Process 42;no;no;all;ALL_bc_with_context.c:458244.29-45
Scc_Exi_StructBufUnion;Scc_ExiRx_DIN_ReadEVSEStatusDC___1652;read;Process 42;no;no;[12,9999];ALL_bc_with_context.c:458338.42-76
Scc_Exi_StructBufUnion;Scc_ExiRx_DIN_ReadEVSEStatusDC___1652;read;Process 42;no;no;[16,9998];ALL_bc_with_context.c:458338.78-116
Scc_Exi_StructBufUnion;Scc_ExiRx_DIN_ReadEVSEStatusDC___1652;read;Process 42;no;no;[4,9989];ALL_bc_with_context.c:458340.37-66
Scc_Exi_StructBufUnion;Scc_ExiRx_DIN_ReadEVSEStatusDC___1652;read;Process 42;no;no;[0,9985];ALL_bc_with_context.c:458342.43-78
Scc_Exi_StructBufUnion;Scc_ExiRx_DIN_ReadEVSEStatusDC___1652;read;Process 42;no;no;[8,9993];ALL_bc_with_context.c:458344.39-70
Scc_Exi_StructBufUnion;Scc_ExiRx_DIN_CableCheckRes___1652;read;Process 42;no;no;[0,3];ALL_bc_with_context.c:458370.39-72
Scc_Exi_StructBufUnion;Scc_ExiRx_DIN_CableCheckRes___1652;read;Process 42;no;no;all;ALL_bc_with_context.c:458370.39-85
Scc_Exi_StructBufUnion;Scc_ExiRx_DIN_CableCheckRes___1652;read;Process 42;no;no;[0,3];ALL_bc_with_context.c:458374.36-69
Scc_Exi_StructBufUnion;Scc_ExiRx_DIN_CableCheckRes___1652;read;Process 42;no;no;[4,9999];ALL_bc_with_context.c:458374.36-91
Scc_Exi_StructBufUnion;Scc_ExiRx_DIN_CableCheckRes___1652;read;Process 42;no;no;[8,9999];ALL_bc_with_context.c:458390.57-78
Scc_Exi_StructBufUnion;Scc_ExiRx_DIN_CableCheckRes___1652;read;Process 42;no;no;[8,9999];ALL_bc_with_context.c:458395.39-60
Scc_Exi_StructBufUnion;Scc_ExiRx_DIN_CableCheckRes___1652;read;Process 42;no;no;[4,9995];ALL_bc_with_context.c:458402.42-65
Scc_Exi_StructBufUnion;Scc_ExiRx_DIN_CableCheckRes___1652;read;Process 42;no;no;[4,9995];ALL_bc_with_context.c:458402.103-126
Scc_Exi_StructBufUnion;Scc_ExiRx_DIN_CableCheckRes___1652;read;Process 42;no;no;[0,9991];ALL_bc_with_context.c:458411.75-97
Scc_Exi_StructBufUnion;Scc_ExiRx_DIN_CableCheckRes___1652;read;Process 42;no;no;[8,9999];ALL_bc_with_context.c:458415.39-60
Scc_Exi_StructBufUnion;Scc_Conv_DIN2Scc_PhysicalValue;read;Process 42;no;no;all;ALL_bc_with_context.c:458690.31-55
Scc_Exi_StructBufUnion;Scc_Conv_DIN2Scc_PhysicalValue;read;Process 42;no;no;[2,9998];ALL_bc_with_context.c:458691.34-63
Scc_Exi_StructBufUnion;Scc_ExiRx_DIN_ChargeParameterDiscoveryRes___1652;read;Process 42;no;no;[0,3];ALL_bc_with_context.c:458706.53-86
Scc_Exi_StructBufUnion;Scc_ExiRx_DIN_ChargeParameterDiscoveryRes___1652;read;Process 42;no;no;all;ALL_bc_with_context.c:458706.53-99
Scc_Exi_StructBufUnion;Scc_ExiRx_DIN_ChargeParameterDiscoveryRes___1652;read;Process 42;no;no;all;ALL_bc_with_context.c:458708.48-76
Scc_Exi_StructBufUnion;Scc_ExiRx_DIN_ChargeParameterDiscoveryRes___1652;read;Process 42;no;no;[0,3];ALL_bc_with_context.c:458712.37-70
Scc_Exi_StructBufUnion;Scc_ExiRx_DIN_ChargeParameterDiscoveryRes___1652;read;Process 42;no;no;[4,9999];ALL_bc_with_context.c:458712.37-92
Scc_Exi_StructBufUnion;Scc_ExiRx_DIN_ChargeParameterDiscoveryRes___1652;read;Process 42;no;no;[8,9999];ALL_bc_with_context.c:458728.39-76
Scc_Exi_StructBufUnion;Scc_ExiRx_DIN_ChargeParameterDiscoveryRes___1652;read;Process 42;no;no;[16,9999];ALL_bc_with_context.c:458735.59-80
Scc_Exi_StructBufUnion;Scc_ExiRx_DIN_ChargeParameterDiscoveryRes___1652;read;Process 42;no;no;[16,9999];ALL_bc_with_context.c:458740.41-62
Scc_Exi_StructBufUnion;Scc_ExiRx_DIN_ChargeParameterDiscoveryRes___1652;read;Process 42;no;no;[12,9995];ALL_bc_with_context.c:458746.44-67
Scc_Exi_StructBufUnion;Scc_ExiRx_DIN_ChargeParameterDiscoveryRes___1652;read;Process 42;no;no;[12,9995];ALL_bc_with_context.c:458746.105-128
Scc_Exi_StructBufUnion;Scc_ExiRx_DIN_ChargeParameterDiscoveryRes___1652;read;Process 42;no;no;[12,9995];ALL_bc_with_context.c:458749.64-87
Scc_Exi_StructBufUnion;Scc_ExiRx_DIN_ChargeParameterDiscoveryRes___1652;read;Process 42;no;no;[4,9987];ALL_bc_with_context.c:458752.81-101
