sep=;
Variable;Function;Access;Process;Data races;Shared variable;Byte offset;Location
xTested_u8@rba_IoExtDipo_evalDiagSequence;rba_IoExtDipo_Prv_EvalAdcParam;write;Process 42;no;no;all;ALL_bc_with_context.c:536100.12-24
xTested_u8@rba_IoExtDipo_evalDiagSequence;rba_IoExtDipo_Prv_EvalAdcParam;write;Process 42;no;no;all;ALL_bc_with_context.c:536138.12-24
xTested_u8@rba_IoExtDipo_evalDiagSequence;rba_IoExtDipo_Prv_EvalAdcParam;write;Process 42;no;no;all;ALL_bc_with_context.c:536167.12-24
xReturnValue_u32@PwmOut_GetErrorInfo;rba_IoDiagPs_ExeElecDiag;write;Process 42;no;no;all;ALL_bc_with_context.c:99273.12-28
xReturnValue_u32@PwmOut_GetErrorInfo;rba_IoDiagPs_ExeElecDiag;write;Process 42;no;no;all;ALL_bc_with_context.c:99310.16-32
xReturnValue_u32@PwmOut_GetErrorInfo;rba_IoDiagPs_ExeElecDiag;write;main-process;no;no;all;ALL_bc_with_context.c:99273.12-28
xReturnValue_u32@PwmOut_GetErrorInfo;rba_IoDiagPs_ExeElecDiag;write;main-process;no;no;all;ALL_bc_with_context.c:99310.16-32
xReturn_u32@Dio_GetErrorInfo;rba_IoDiagPs_ExeElecDiag;write;Process 42;no;no;all;ALL_bc_with_context.c:99273.12-28
xReturn_u32@Dio_GetErrorInfo;rba_IoDiagPs_ExeElecDiag;write;Process 42;no;no;all;ALL_bc_with_context.c:99310.16-32
xResultTicks_st@rba_IoMcuIcu_GetFullSignalTimings;Icu_GtmGetFullSignalTimings;write;Process 42;no;no;[8,11];ALL_bc_with_context.c:340063.1-25
xResultTicks_st@rba_IoMcuIcu_GetFullSignalTimings;Icu_GtmGetFullSignalTimings;write;Process 42;no;no;[4,7];ALL_bc_with_context.c:340064.8-31
xResultTicks_st@rba_IoMcuIcu_GetFullSignalTimings;Icu_GtmGetFullSignalTimings;write;Process 42;no;no;[0,3];ALL_bc_with_context.c:340065.8-34
xResultTicks_st@rba_IoMcuIcu_GetFullSignalTimings;Icu_GtmGetFullSignalTimings;write;Process 42;no;no;{20};ALL_bc_with_context.c:340066.8-32
xResultTicks_st@rba_IoMcuIcu_GetFullSignalTimings;Icu_GtmGetFullSignalTimings;write;Process 42;no;no;[16,19];ALL_bc_with_context.c:340074.12-36
xResultTicks_st@rba_IoMcuIcu_GetFullSignalTimings;Icu_GtmGetFullSignalTimings;write;Process 42;no;no;[12,15];ALL_bc_with_context.c:340076.8-33
xResult_st@rba_IoSigIcu_GetFullSignalTimings;rba_IoMcuIcu_GetFullSignalTimings;write;Process 42;no;no;[8,11];ALL_bc_with_context.c:340145.8-33
xResult_st@rba_IoSigIcu_GetFullSignalTimings;rba_IoMcuIcu_GetFullSignalTimings;write;Process 42;no;no;[4,7];ALL_bc_with_context.c:340146.8-32
xResult_st@rba_IoSigIcu_GetFullSignalTimings;rba_IoMcuIcu_GetFullSignalTimings;write;Process 42;no;no;[8,11];ALL_bc_with_context.c:340151.8-33
xResult_st@rba_IoSigIcu_GetFullSignalTimings;rba_IoMcuIcu_GetFullSignalTimings;write;Process 42;no;no;[4,7];ALL_bc_with_context.c:340152.8-32
xResult_st@rba_IoSigIcu_GetFullSignalTimings;rba_IoMcuIcu_GetFullSignalTimings;write;Process 42;no;no;[12,15];ALL_bc_with_context.c:340155.4-30
xResult_st@rba_IoSigIcu_GetFullSignalTimings;rba_IoMcuIcu_GetFullSignalTimings;write;Process 42;no;no;[16,19];ALL_bc_with_context.c:340156.4-29
xResult_st@rba_IoSigIcu_GetFullSignalTimings;rba_IoMcuIcu_GetFullSignalTimings;write;Process 42;no;no;[0,3];ALL_bc_with_context.c:340157.4-31
xResult_st@rba_IoSigIcu_GetFullSignalTimings;rba_IoMcuIcu_GetFullSignalTimings;write;Process 42;no;no;{20};ALL_bc_with_context.c:340158.4-29
xRegVal_u8@rba_IoExtCy329_Ini;rba_IoExtCy329_Prv_GetMscFrm;write;main-process;no;no;all;ALL_bc_with_context.c:79543.8-22
xRegVal_u8@rba_IoExtCy329_Ini;rba_IoExtCy329_Prv_GetMscFrm;write;main-process;no;no;all;ALL_bc_with_context.c:79562.12-26
xPtr_pst@rba_EcuSecu_Init_Proc;rba_MemLay_GetInfTabEntry_BaseFunc;write;main-process;no;no;all;ALL_bc_with_context.c:201406.15-42
xNewGetErrorInfo_u32@rba_IoDiagPwr_Prv_ExeElecDiagVltSply;rba_IoExtCy329_VltSplyGetDiagInfo;write;Process 42;no;no;all;ALL_bc_with_context.c:531499.12-30
xNewGetErrorInfo_u32@rba_IoDiagPs_ExeElecDiag;rba_IoExtDipo_DioGetDiagInfo;read;Process 42;no;no;all;ALL_bc_with_context.c:95947.16-32
